HEROP_ID,FIPS,TotPop,Age15_44,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,PovP,UnempP,VacantP,Ovr16P,Ovr18P,Ovr21P,Age15_44P,WhiteE,BlackE,MaleP,FemP,SRatio,SRatio18,SRatio65,HisE,HisP,AmIndE,AsianE,PacIsE,EduHsP,EduNoHsP,ChildrenP,Ovr16,Ovr18,Ovr21,Ovr65
040US01,1,3893888,1767059,11.3,73.77,25.59,0.86,0.19,0.23,0.02,0.2,18.88,7.51,7.51,74.0,70.15,64.25,45.38,2872621,996335,48.06,51.94,92.54,88.0,66.27,33299,0.86,7583,8992,742,31.76,43.51,29.85,2881414,2731640,2501731,440015
040US02,2,401851,227074,2.87,77.08,3.4,2.36,15.95,1.83,0.17,1.57,10.56,9.66,14.68,71.22,67.46,61.72,56.51,309728,13643,53.01,46.99,112.83,115.88,99.5,9507,2.37,64103,7369,685,38.87,17.47,32.54,286197,271106,248019,11547
040US04,4,2718215,1257603,11.31,82.44,2.76,16.22,5.62,0.76,0.05,8.37,13.18,6.2,10.71,74.52,70.88,65.01,46.27,2240761,74977,49.22,50.78,96.93,94.25,79.4,440701,16.21,152745,20725,1307,34.33,27.65,29.12,2025730,1926728,1767073,307362
040US05,5,2286435,990843,13.67,82.68,16.35,0.78,0.41,0.28,0.01,0.27,18.96,6.92,8.22,74.45,70.64,65.15,43.34,1890322,373768,48.31,51.69,93.48,89.12,73.85,17904,0.78,9428,6414,326,33.16,44.55,29.36,1702332,1615061,1489725,312477
040US06,6,23667902,11544383,10.2,76.18,7.69,19.2,0.85,5.04,0.26,9.98,11.37,6.55,6.43,76.55,73.01,67.24,48.78,18030893,1819281,49.29,50.71,97.21,94.69,68.77,4544331,19.2,201369,1192970,60848,31.44,26.52,26.99,18118479,17278944,15914604,2414250
040US08,8,2889964,1487692,8.56,88.98,3.52,11.76,0.63,0.98,0.06,5.84,10.13,5.0,9.26,75.6,72.01,65.93,51.48,2571498,101703,49.63,50.37,98.53,96.31,68.53,339717,11.76,18068,28315,1601,34.58,21.36,27.99,2184834,2081151,1905223,247325
040US09,9,3107576,1421200,11.74,90.08,7.0,4.01,0.15,0.6,0.01,2.17,8.03,4.66,4.44,77.3,73.52,68.12,45.73,2799420,217433,48.2,51.8,93.07,89.35,64.84,124499,4.01,4533,18623,347,34.41,29.67,26.48,2402267,2284657,2116734,364864
040US10,10,594338,281175,9.96,82.08,16.13,1.63,0.22,0.68,0.01,0.88,11.85,6.29,10.08,75.9,71.97,65.63,47.31,487817,95845,48.22,51.78,93.13,89.36,65.01,9661,1.63,1328,3998,114,36.21,31.35,28.03,451079,427743,390041,59179
040US11,11,638333,324004,11.64,26.91,70.32,2.77,0.16,0.99,0.05,1.57,18.57,6.77,8.57,80.78,77.52,71.07,50.76,171768,448906,46.28,53.72,86.15,82.17,57.87,17679,2.77,1031,6318,318,25.54,32.93,22.48,515624,494842,453655,74287
040US12,12,9746324,4072956,17.31,83.97,13.78,8.81,0.2,0.56,0.02,1.47,13.46,5.11,12.49,79.13,75.79,70.72,41.79,8184513,1342688,47.97,52.03,92.21,88.63,75.93,858158,8.8,19257,54634,2106,35.03,33.33,24.21,7712135,7386688,6892536,1687573
