"HEROP_ID","FIPS","HcvD","MlHcvD","FlHcvD","AmInHcvD","AsPiHcvD","BlkHcvD","HspHcvD","U50HcvD","A50_74HcvD","O75HcvD"
"040US28","28",179,130,49,,,40,,19,129,10
"040US37","37",525,377,148,12,,142,11,47,440,
"040US40","40",422,296,126,43,,40,20,64,328,
"040US51","51",339,257,82,,,124,,27,290,
"040US54","54",104,71,33,,,,,13,66,
"040US22","22",309,220,89,,,144,,24,248,11
"040US26","26",516,387,129,,,178,23,19,447,34
"040US25","25",275,199,76,,11,39,26,19,224,10
"040US16","16",110,79,31,,,,10,,85,
"040US12","12",1261,885,376,,10,179,124,92,1061,84
"040US31","31",90,68,22,,,17,,10,69,
"040US53","53",592,417,175,20,29,48,32,40,515,17
"040US35","35",229,178,51,11,,,130,31,183,
"040US46","46",26,15,11,,,,,,,
"040US48","48",1843,1292,551,,31,299,530,206,1511,109
"040US06","06",3476,2442,1034,55,213,373,967,298,2809,350
"040US01","01",234,168,66,,,60,,,188,
"040US13","13",409,300,109,,,148,,30,344,13
"040US42","42",634,454,180,,,176,57,36,522,46
"040US29","29",330,246,84,,,63,11,18,279,
"040US08","08",349,263,86,,,25,101,29,285,13
"040US49","49",79,55,24,,,,11,,54,
"040US47","47",534,362,172,,,107,,77,427,13
"040US56","56",28,19,,,,,,,,
"040US36","36",1139,754,385,,36,310,285,78,910,121
"040US20","20",115,77,38,,,10,,11,89,
"040US02","02",62,44,18,,,,,,37,
"040US32","32",212,151,61,,,20,19,12,172,
"040US17","17",349,236,113,,,79,24,20,280,34
"040US50","50",34,27,,,,,,,17,
"040US30","30",60,41,19,14,,,,,44,
"040US19","19",144,101,43,,,,,12,118,
"040US45","45",293,205,88,,,82,,36,231,
"040US33","33",73,57,16,,,,,,52,
"040US04","04",531,389,142,21,,33,148,56,431,21
"040US11","11",103,80,23,,,96,,,89,
"040US34","34",424,299,125,,,133,53,24,355,26
"040US24","24",299,203,96,,10,152,,23,238,17
"040US23","23",52,41,11,,,,,,35,
"040US15","15",67,54,13,,21,,,,48,
"040US10","10",53,37,16,,,16,,,25,
"040US44","44",73,56,17,,,,,14,45,
"040US21","21",239,172,67,,,24,,36,161,
"040US39","39",534,376,158,,,142,13,45,445,34
"040US55","55",175,132,43,,,36,11,11,145,
"040US41","41",549,387,162,17,14,14,25,42,482,10
"040US38","38",22,16,,,,,,,,
"040US05","05",171,126,45,,,21,,14,133,
"040US18","18",264,192,72,,,42,,22,209,
"040US27","27",229,161,68,15,11,36,,12,190,
"040US09","09",160,111,49,,,31,28,13,121,
